ACC=0.684536, f1_macro=0.679702, precision_macro=0.699366, recall_macro=0.701503, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312334, ADJ_RAND_SCORE=0.306196
ACC=0.686210, f1_macro=0.681341, precision_macro=0.700600, recall_macro=0.702750, f1_micro=0.686210, precision_micro=0.686210, recall_micro=0.686210, NMI=0.313468, ADJ_RAND_SCORE=0.308146
ACC=0.686311, f1_macro=0.681429, precision_macro=0.700719, recall_macro=0.702798, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.313487, ADJ_RAND_SCORE=0.308267
ACC=0.686311, f1_macro=0.681429, precision_macro=0.700719, recall_macro=0.702798, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.313487, ADJ_RAND_SCORE=0.308267
ACC=0.686311, f1_macro=0.681429, precision_macro=0.700719, recall_macro=0.702798, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.313487, ADJ_RAND_SCORE=0.308267
ACC=0.686058, f1_macro=0.681192, precision_macro=0.700436, recall_macro=0.702621, f1_micro=0.686058, precision_micro=0.686058, recall_micro=0.686058, NMI=0.313281, ADJ_RAND_SCORE=0.307913
ACC=0.686311, f1_macro=0.681429, precision_macro=0.700719, recall_macro=0.702798, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.313487, ADJ_RAND_SCORE=0.308267
ACC=0.686210, f1_macro=0.681330, precision_macro=0.700609, recall_macro=0.702712, f1_micro=0.686210, precision_micro=0.686210, recall_micro=0.686210, NMI=0.313361, ADJ_RAND_SCORE=0.308112
ACC=0.686007, f1_macro=0.681129, precision_macro=0.700379, recall_macro=0.702579, f1_micro=0.686007, precision_micro=0.686007, recall_micro=0.686007, NMI=0.313201, ADJ_RAND_SCORE=0.307844
ACC=0.686261, f1_macro=0.681368, precision_macro=0.700698, recall_macro=0.702756, f1_micro=0.686261, precision_micro=0.686261, recall_micro=0.686261, NMI=0.313525, ADJ_RAND_SCORE=0.308225
ACC=0.686159, f1_macro=0.681280, precision_macro=0.700555, recall_macro=0.702669, f1_micro=0.686159, precision_micro=0.686159, recall_micro=0.686159, NMI=0.313299, ADJ_RAND_SCORE=0.308034
ACC=0.687630, f1_macro=0.682635, precision_macro=0.701619, recall_macro=0.703789, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314573, ADJ_RAND_SCORE=0.309948
ACC=0.687630, f1_macro=0.682610, precision_macro=0.701521, recall_macro=0.703788, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314348, ADJ_RAND_SCORE=0.309880
ACC=0.687579, f1_macro=0.682524, precision_macro=0.701402, recall_macro=0.703745, f1_micro=0.687579, precision_micro=0.687579, recall_micro=0.687579, NMI=0.314161, ADJ_RAND_SCORE=0.309769
ACC=0.687579, f1_macro=0.682574, precision_macro=0.701574, recall_macro=0.703708, f1_micro=0.687579, precision_micro=0.687579, recall_micro=0.687579, NMI=0.314404, ADJ_RAND_SCORE=0.309836
ACC=0.687579, f1_macro=0.682524, precision_macro=0.701402, recall_macro=0.703745, f1_micro=0.687579, precision_micro=0.687579, recall_micro=0.687579, NMI=0.314161, ADJ_RAND_SCORE=0.309769
ACC=0.687630, f1_macro=0.682574, precision_macro=0.701457, recall_macro=0.703788, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314224, ADJ_RAND_SCORE=0.309847
ACC=0.687630, f1_macro=0.682599, precision_macro=0.701554, recall_macro=0.703789, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314449, ADJ_RAND_SCORE=0.309915
ACC=0.687630, f1_macro=0.682622, precision_macro=0.701543, recall_macro=0.703788, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314389, ADJ_RAND_SCORE=0.309891
ACC=0.687630, f1_macro=0.682622, precision_macro=0.701543, recall_macro=0.703788, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314389, ADJ_RAND_SCORE=0.309891
ACC=0.687630, f1_macro=0.682635, precision_macro=0.701619, recall_macro=0.703789, f1_micro=0.687630, precision_micro=0.687630, recall_micro=0.687630, NMI=0.314573, ADJ_RAND_SCORE=0.309948
ACC=0.688543, f1_macro=0.683401, precision_macro=0.702229, recall_macro=0.704595, f1_micro=0.688543, precision_micro=0.688543, recall_micro=0.688543, NMI=0.315163, ADJ_RAND_SCORE=0.311044
ACC=0.688441, f1_macro=0.683311, precision_macro=0.702044, recall_macro=0.704585, f1_micro=0.688441, precision_micro=0.688441, recall_micro=0.688441, NMI=0.315091, ADJ_RAND_SCORE=0.310917
ACC=0.688441, f1_macro=0.683311, precision_macro=0.702044, recall_macro=0.704585, f1_micro=0.688441, precision_micro=0.688441, recall_micro=0.688441, NMI=0.315091, ADJ_RAND_SCORE=0.310917
ACC=0.689151, f1_macro=0.684022, precision_macro=0.702590, recall_macro=0.705140, f1_micro=0.689151, precision_micro=0.689151, recall_micro=0.689151, NMI=0.315582, ADJ_RAND_SCORE=0.311736
ACC=0.688441, f1_macro=0.683311, precision_macro=0.702044, recall_macro=0.704585, f1_micro=0.688441, precision_micro=0.688441, recall_micro=0.688441, NMI=0.315091, ADJ_RAND_SCORE=0.310917
